"V1" "V2"
"335" 1 3.01
"336" 1 3.01
"337" 1 3.01
"338" 1 3.01
"339" 1 3.01
"340" 1 3
"341" 1 3.01
"342" 1 3.01
"343" 1 3.01
"344" 1 3.01
"345" 1 2.92
"346" 1 3.01
"347" 1 3.01
"348" 1 3.01
"349" 1 3.01
"350" 1 3.01
"351" 1 3.01
"352" 1 3.01
"353" 1 3.01
"354" 1 3.01
"355" 1 3
"356" 1 3.01
"357" 1 3.01
"358" 1 3.01
"359" 1 3.01
"360" 1 3.01
"361" 1 3.01
"362" 1 3.01
"363" 1 3
"364" 1 3.01
"365" 1 3.01
"366" 1 3.01
"367" 1 2.99
"368" 1 3.01
"369" 1 3.01
"370" 1 2.9
"371" 1 2.86
"372" 1 3.01
"373" 1 1.79
"374" 1 3.01
"375" 1 3.01
"376" 1 3.01
"377" 1 3.01
"378" 1 3.01
"379" 1 3.01
"380" 1 3.01
"381" 1 3.01
"382" 1 3.01
"383" 1 3.01
"384" 1 2.98
"385" 1 3.01
"386" 1 3.01
"387" 1 3.01
"388" 1 3.01
"389" 1 3.01
"390" 1 2.76
"391" 1 3.01
"392" 1 3.01
"393" 1 3.01
"394" 1 2.99
"395" 1 3.01
"396" 1 3.01
"397" 1 3.01
"398" 1 3.01
"399" 1 3.01
"400" 1 3.01
"401" 1 3.01
"402" 1 3
"403" 1 3.01
"404" 1 3.01
"405" 1 3.01
"406" 1 3.01
"407" 1 3.01
"408" 1 3.01
"409" 1 2.95
"410" 1 3.01
"411" 1 3.01
"412" 1 3.01
"413" 1 3.01
"414" 1 3.01
"415" 1 3.01
"416" 1 3.01
"417" 1 3.01
"418" 1 3.01
"419" 1 3
"420" 1 3.01
"421" 1 3.01
"422" 1 3.01
"423" 1 3.01
"424" 1 3.01
"425" 1 3.01
"426" 1 3.01
"427" 1 3.01
"428" 1 3.01
"429" 1 3
"430" 1 3.01
"431" 1 3.01
"432" 1 3.01
"433" 1 3.01
"434" 1 2.99
"435" 1 3
"436" 1 2.84
"437" 1 2.98
"438" 1 3.01
"439" 1 3.01
"440" 1 3.01
"441" 1 3.01
"442" 1 2.92
"443" 1 3
"444" 1 3.01
"445" 1 3.01
"446" 1 3.01
"447" 1 3.01
"448" 1 3.01
"449" 1 3.01
"450" 1 3.01
"451" 1 2.95
"452" 1 3.01
"453" 1 3.01
"454" 1 3.01
"455" 1 3.01
"456" 1 3.01
"457" 1 3.01
"458" 1 3.01
"459" 1 3.01
"460" 1 3
"461" 1 3.01
"462" 1 2.81
"463" 1 3.01
"464" 1 2.83
"465" 1 3.01
"466" 1 2.98
"467" 1 2.92
"468" 1 2.95
"469" 1 3.01
"470" 1 3.01
"471" 1 2.83
"472" 1 3.01
"473" 1 3.01
"474" 1 3.01
"475" 1 3.01
"476" 1 3.01
"477" 1 3.01
"478" 1 3.01
